iter	Passed	Remaining
0	47	47618
1	48	24088
2	48	16184
3	49	12232
4	49	9861
5	49	8280
6	50	7150
7	50	6303
8	51	5645
9	51	5118
10	52	4686
11	52	4326
12	52	4021
13	53	3760
14	53	3533
15	54	3334
16	54	3160
17	55	3006
18	55	2866
19	55	2740
20	56	2627
21	56	2524
22	57	2429
23	57	2343
24	58	2264
25	58	2191
26	58	2123
27	59	2059
28	59	2000
29	60	1946
30	60	1894
31	61	1845
32	61	1800
33	61	1757
34	62	1717
35	62	1679
36	63	1643
37	63	1609
38	64	1577
39	64	1546
40	64	1516
41	65	1488
42	65	1462
43	66	1436
44	66	1412
45	66	1389
46	67	1366
47	67	1344
48	68	1324
49	68	1304
50	69	1285
51	69	1267
52	69	1249
53	70	1232
54	70	1216
55	71	1200
56	71	1185
57	72	1170
58	74	1186
59	74	1173
60	75	1159
61	75	1146
62	76	1133
63	76	1120
64	77	1108
65	77	1096
66	77	1084
67	78	1073
68	78	1062
69	79	1051
70	79	1041
71	79	1031
72	80	1021
73	80	1011
74	81	1002
75	81	992
76	82	983
77	82	975
78	82	966
79	83	958
80	83	950
81	84	942
82	84	932
83	84	925
84	85	918
85	85	911
86	86	903
87	86	897
88	86	889
89	87	883
90	87	877
91	88	870
92	88	863
93	89	857
94	89	852
95	89	845
96	90	839
97	90	832
98	90	827
99	91	822
100	91	817
101	92	812
102	92	806
103	92	800
104	93	795
105	93	790
106	94	786
107	94	781
108	95	777
109	95	772
110	95	767
111	96	762
112	96	757
113	96	752
114	97	748
115	97	744
116	98	739
117	98	736
118	98	732
119	99	729
120	99	725
121	100	720
122	100	716
123	100	712
124	101	708
125	101	704
126	101	700
127	102	696
128	102	693
129	103	690
130	103	687
131	104	684
132	104	681
133	104	678
134	105	674
135	105	670
136	106	668
137	106	664
138	106	661
139	107	657
140	107	655
141	107	651
142	108	648
143	108	646
144	109	643
145	109	641
146	110	638
147	110	636
148	110	633
149	111	631
150	111	629
151	112	626
152	112	623
153	112	620
154	113	617
155	113	614
156	114	612
157	114	609
158	114	606
159	115	603
160	115	600
161	115	597
162	115	595
163	116	592
164	117	593
165	117	590
166	118	590
167	118	588
168	119	586
169	119	585
170	120	583
171	120	581
172	121	579
173	121	577
174	122	575
175	122	573
176	123	572
177	123	570
178	123	568
179	124	565
180	124	563
181	124	561
182	125	559
183	125	557
184	125	554
185	126	552
186	126	550
187	126	548
188	127	546
189	127	544
190	127	542
191	128	540
192	128	538
193	129	536
194	129	533
195	129	532
196	130	531
197	130	529
198	131	528
199	131	526
200	132	525
201	132	523
202	133	522
203	133	520
204	133	519
205	134	518
206	134	516
207	135	515
208	135	513
209	135	511
210	136	509
211	136	507
212	137	506
213	137	504
214	137	502
215	138	501
216	138	499
217	138	497
218	139	495
219	139	494
220	139	492
221	140	490
222	140	489
223	140	487
224	141	486
225	141	485
226	142	483
227	142	482
228	143	481
229	143	480
230	143	479
231	144	477
232	144	476
233	145	475
234	145	474
235	146	473
236	146	471
237	146	470
238	147	468
239	147	467
240	147	465
241	148	464
242	148	462
243	148	461
244	149	459
245	149	458
246	149	456
247	150	455
248	150	454
249	150	452
250	151	451
251	151	450
252	152	449
253	152	448
254	153	447
255	153	446
256	154	445
257	154	444
258	154	443
259	155	442
260	155	441
261	156	440
262	156	439
263	157	438
264	157	436
265	157	435
266	158	434
267	158	433
268	158	431
269	159	430
270	159	429
271	159	427
272	160	426
273	160	425
274	160	424
275	161	422
276	161	421
277	161	420
278	162	419
279	162	418
280	163	417
281	163	416
282	164	415
283	164	414
284	164	413
285	165	413
286	165	412
287	166	411
288	166	410
289	167	409
290	167	408
291	168	407
292	168	406
293	168	405
294	169	404
295	169	403
296	169	402
297	170	400
298	170	399
299	170	398
300	171	397
301	171	396
